Name,Actor 1,Cluster,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Year,Year,Votes,Votes,Duration,Duration,Dir_enc,A1_enc,A2_enc,A3_enc,G_mean_rat
3 Bachelors,Sharman Joshi,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,2012,165,165,114,114,4.15,4.74,3.75,3.3,5.774774254768754
3 Deewarein,Naseeruddin Shah,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,2003,2322,2322,115,115,7.072727272727272,6.181578947368421,5.090909090909091,5.6571428571428575,5.948709817728362
3 Dev,Karan Singh Grover,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,35,35,122,122,5.966666666666666,6.9,6.9,5.95,5.7518796992481205
3 Idiots,Aamir Khan,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2009,357889,357889,170,170,8.059999999999999,6.893548387096774,6.257142857142857,8.4,5.903885336142231
3 Storeys,Aisha Ahmed,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018,358,358,100,100,6.9,6.9,6.9,5.95,6.055890973036343
3.0 Megapixel,Seema Azmi,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2015,6,6,99,99,4.3,5.366666666666667,4.3,4.3,5.963716237506313
31st October,Soha Ali Khan,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2015,2015,238,238,109,109,5.8,5.8,5.8,6.55,6.15514580290533
36 China Town,Mastan Alibhai Burmawalla,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2006,2006,4373,4373,140,140,5.5307692307692315,5.5307692307692315,6.16,5.557142857142857,5.761910989246246
36 Chowringhee Lane,Jennifer Kendal,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1981,1981,392,392,122,122,6.816666666666666,7.5,7.5,7.5,5.926779891662866
376 D,Robin Sikarwar,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,2020,252,252,128,128,5.7,5.7,5.7,5.7,5.731012265094488
377 AbNormal,Muntazir Ahmad,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,93,93,93,93,6.366666666666667,6.1625,6.55,6.416666666666667,6.055890973036343
3D Saamri,Tulsi Ramsay,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1985,1985,80,80,102,102,5.55,5.764285714285714,5.449999999999999,5.6,4.7897727272727275
3G: A Killer Connection,Shantanu Ray Chhibber,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2013,2013,1128,1128,125,125,4.15,4.15,4.533333333333333,5.55,5.20234759619657
3rd EYE,Deepak Bhatia,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019,2019,6,6,145,145,6.3,6.3,5.15,6.3,4.7897727272727275
404: Error Not Found,Rajvvir Aroraa,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2011,2011,2548,2548,121,121,5.375,7.3,7.3,6.85,5.863248080508986
417 Miles,Marilia Colturato,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,9,9,75,75,4.8,4.8,4.8,4.8,6.055890973036343
498A-The Wedding Gift,Srishti Gautam,7,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2012,2012,21,21,113,113,7.8,7.8,7.8,7.1,6.186083929563623
5 Ghantey Mien 5 Crore,Nassar Abdulla,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,2012,75,75,111,111,4.8999999999999995,5.166666666666667,4.45,6.8999999999999995,5.620495867768595
5 Rifles,Rakesh Khanna,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,1974,36,36,134,134,6.442857142857143,6.5,6.359999999999999,6.5,5.638159875974521
5ters: Castle of Dark Master,Akash,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,2011,19,19,110,110,4.6,4.6,4.6,4.6,5.727796320694871
6-5=2,Prashantt Guptha,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,2014,171,171,104,104,4.2,4.85,4.2,4.2,4.7897727272727275
68 Pages,Mouli Ganguly,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,2007,31,31,92,92,6.55,6.2,6.2,6.2,6.055890973036343
7 1/2 Phere: More Than a Wedding,Juhi Chawla,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,281,281,136,136,3.766666666666667,5.671428571428572,5.800000000000001,6.916666666666667,5.903885336142231
7 Bijliyaan,Tina Ambani,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1988,7,7,126,126,5.0,4.75,5.5,6.0,5.524440052700922
7 Hours to Go,Sandeepa Dhar,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,2016,398,398,115,115,6.0,6.2,5.898232868643235,5.8,5.731012265094488
7 Islands and a Metro,Vibha Chhibber,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2006,10,10,100,100,6.2,6.2,7.050000000000001,6.33,7.61086956521739
7 Khoon Maaf,Priyanka Chopra Jonas,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2011,2011,5640,5640,137,137,6.9625,5.8999999999999995,6.1,5.675,5.863248080508986
7 Saal Baad,Sharmila Tagore,7,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1987,1987,34,34,127,127,4.1,5.86,5.699999999999999,5.6,5.801958746770545
706,Mohan Agashe,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,2019,449,449,120,120,5.898232868643235,6.640000000000001,5.1,5.571428571428571,5.620495867768595
72 Hours: Martyr Who Never Died,Avinash Dhyani,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,249,249,130,130,5.3,5.1,5.3,5.449999999999999,6.09540445955948
8 x 10 Tasveer,Akshay Kumar,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2009,2009,5459,5459,122,122,7.072727272727272,5.544736842105263,5.6125,4.88,5.741734953610116
8119 Miles,Ranji Vijayan,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2021,2021,21,21,115,115,6.6,6.6,6.6,6.6,5.946929958578217
88 Antop Hill,Atul Kulkarni,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2003,2003,66,66,119,119,5.800000000000001,5.800000000000001,4.9,4.7,5.7669266342453085
