Director,MeanRating
Jayaprakash Radhakrishnan,6.7
Jayaraaj,5.9
Jayesh Pradhan,4.4
Jayoo,6.599999999999999
Jayoo Patwardhan,7.7
Jayprakkash Shaw,4.279999999999999
Jayveer Panghaal,3.5
Jean-Fran�ois Pouliot,6.0
Jeet Matharru,7.6
Jeethu Joseph,5.4
Jeetu,4.3
Jeetu Arora,5.8
Jeeva,4.8
Jeevitha,6.2
Jeffrey D. Brown,6.9
Jeffrey Gee Chin,7.9
Jehangir Surti,5.0
Jennifer Lynch,2.9
Jeong-beom Lee,6.8
Jeppi,3.7000000000000006
Jignesh V. Vaishnav,3.9
Jijo Punnoose,6.6000000000000005
Jijy Philip,6.099999999999999
Jiten,6.2
Jitendra Chawda,5.6
Jitendra Pawar,2.4
Jitendra Singh Naruka,4.4
Jitin Rawat,9.1
Joe Eshwar,6.599999999999999
Joe Rajan,5.5
Joel Palombo,6.7
Jogesh Sehdeva,6.8
Joginder Shelly,5.0
Johannes Roberts,5.3
John Hunt,6.2
John Madden,6.599999999999999
John Mathew Matthan,6.775
John Owen,7.099999999999999
Jojo D'Souza,5.5
Jonathan Augustin,7.2
Jose Punnoose,3.1
Joy Augustine,6.275
Joy Mukherjee,6.8
Jugal Debata,6.9
Jugal Hansraj,4.96
Jugal Kishore,5.5636363636363635
Jugal Raja,6.8
Justin John,6.7
Jwalamukhi,4.1
Jyoti Sarup,7.6
Jyoti Swaroop,6.56
Jyotin Goel,4.6
K. Amarnath,6.11
K. Asif,6.5
K. Balachander,7.260000000000001
K. Bapaiah,5.464583333333334
K. Bikram Singh,7.2
K. Hariharan,6.766666666666667
K. Mahesh Sukhadhare,6.7
K. Mishra,5.4
K. Muralimohana Rao,4.516666666666667
K. Pappu,5.016666666666667
K. Parvez,6.1
K. Raghavendra Rao,5.671794871794871
K. Ramanlal,6.0
K. Ravi Shankar,5.061538461538461
K. Shankar,6.7749999999999995
K. Shivram,3.1
K. Shrivastava,4.9
K. Subhash,4.6
K. Thankappan,7.1
K. Vijayan,6.5
K. Viswanath,6.1
K.B. Tilak,6.266666666666666
K.C. Bokadia,4.090625
K.C. Handra,2.7
K.D. Satyam,6.0
K.I. Sheikh,2.9
K.K. Singh,5.7
K.P. Sasi,6.7
K.P. Singh,8.3
K.R. Reddy,4.316666666666666
K.S. Adiyaman,4.6125
K.S. Gopalakrishnan,6.5
K.S. Prakash Rao,6.3
K.S. Ravi,5.5
K.S. Ravikumar,5.8999999999999995
K.S. Ravindra,4.7
K.S. Sethumadhavan,6.283333333333334
K.S.R. Das,6.6000000000000005
Kaashvi Nair,4.1
Kabeer Kaushik,5.275
Kabir Khan,6.270588235294118
Kabir Sadanand,4.6571428571428575
Kabir Singh Chowdhry,6.6
Kader Kashmiri,4.725
Kailash Bhandari,6.2
Kaizad Gustad,4.014285714285714
Kajal Naskar,5.5
Kalidas,6.111764705882353
Kalpana Lajmi,6.475
Kalpataru,5.678947368421053
Kamakhya Narayan Singh,7.8
Kamal,3.0
Kamal Amrohi,6.949999999999999
Kamal Haasan,7.390000000000001
Kamal K.M.,6.9
Kamal Majumdar,6.0
Kamal Nathani,6.2
Kamal Raj Bhasin,3.8
Kamal Sadanah,5.599999999999999
Kamal Sharma,6.3
Kamal Swaroop,7.1
Kamalakara Kameshwara Rao,8.2
Kamika Verma,7.0
Kanak Mishra,7.08
Kanika Batra,6.6
Kanishk Varma,5.0
Kanmani,4.0
Kannan,4.9
Kannan Iyer,5.7
Kannan Thamarakkulam,4.2
Kanti Shah,5.061290322580645
Kanu Behl,7.599999999999999
Kanwal Biala,6.099999999999999
Kanwal Sethi,6.640000000000001
Kapil Kapoor,6.12
Kapil Sharma,4.6
Kapri Vinod,5.92
Karan Anshuman,4.5
Karan Butani,3.7999999999999994
Karan Darra,4.0
Karan Gour,6.7
Karan Johar,6.566666666666666
Karan Kandhari,6.1
Karan Kashyap,4.933333333333334
Karan Malhotra,6.7
Karan Radhakrishna,4.8
Karan Razdan,4.0625
Karan Vishwanath Kashyap,4.4
Karanjeet Saluja,5.699999999999999
Karu Pazhaniappan,5.5
Karunesh Thakur,7.5
Kasam Ali,4.3
Kashinath,6.3
Kashmira Shah,4.9
Kathir,6.8
Kaushik Ghatak,5.7
Kaushik Roy,6.2
