Actor 3,MeanRating
Birbal,5.985714285714286
Biswajit Chatterjee,6.230769230769231
Bj�rn Freiberg,5.3
Bob Anthony,5.0
Bob Christo,6.866666666666667
Bobby Darling,6.35
Bobby Deol,4.347368421052631
Bobby Khan,3.1
Boken Chatto,6.3
Boman Irani,5.788235294117648
Boman Shroff,3.4
Brahm Bhardwaj,5.475
Brahmachari,5.716666666666666
Brahmanand Swamigal,7.6
Brahmanandam,5.488888888888889
Brande Roderick,3.2999999999999994
Brandon Routh,3.9
Brij Gopal,5.6
Brijendra Kala,5.833333333333333
Brinda Karat,7.3
Bunty Chopra,3.8
Bunty Grewal,5.5
Byon,4.0
B�rbara Mori,6.099999999999999
Camille Natta,6.2
Candice Pereira,5.7
Cedric Cirotteau,5.9
Celina Jaitly,2.6
Cell Murugan,3.7
Chaho Bhara,9.3
Chalapathi Rao,5.5
Chaman Bagga,7.1
Champa,7.6
Chanchal,7.0
Chanda,7.2
Chandan Gill,7.2
Chandani Grover,6.6
Chandni,5.1
Chandra Mohan,6.925
Chandra Shekhar Dutta,8.5
Chandrachur Singh,7.040000000000001
Chandramohan,5.0
Chandrashekhar,6.164705882352941
Chaplin Balu,6.8
Charan Raj,6.857142857142857
Charu Haasan,7.4
Chery Shety,3.4
Chetan Anand,7.1
Chetan Pandit,5.3
Chetana Das,3.9
Chetna Pande,6.0
Chhayadevi,6.8
Chia-Hui Liu,4.1
Chinmayee Surve,6.0
Chinnijayanth,6.0
Chitra,6.3999999999999995
Chitrangda Singh,6.925
Chlo� Booyens,3.9
Chrissy Chambers,5.2
Chunky Panday,4.623529411764705
Cuckoo,6.849999999999999
Curtiss Cook,7.7
Cyrus Sahukar,5.8
D. Santosh,8.1
D.K. Sapru,5.0
Dady Dustoor,7.1
Daisy Irani,7.099999999999999
Dalip Tahil,4.966666666666667
Daljinder Basran,6.7
Damandeep Singh,4.4
Daniel Kaleb,5.8
Daniel Weber,2.7999999999999994
Danish Husain,6.7
Danny Denzongpa,5.974
Danny Huston,7.3
Dara Singh,5.7
Darbha Appaji Ambarisha,5.4
Darshan Jariwala,5.136363636363637
Darshan Kumaar,5.5600000000000005
Darsheel Safary,6.099999999999999
Darshil Gandhi,8.8
Datta Dharmadhikari,8.0
David Abraham,6.805555555555555
David Bueno,3.6
Dean Alexandrou,6.0
Deb Mukherjee,7.12
Debashree Roy,7.5
Deeksha Joshi,5.7
Deepa Bakshi,4.7
Deepak Bhatia,4.8
Deepak Chaddha,4.9
Deepak Dobriyal,7.242857142857143
Deepak Jethi,2.8
Deepak Mehrotra,6.8
Deepak Parashar,5.9875
Deepak Shirke,6.900000000000001
Deepak Tijori,6.358823529411764
Deepika Amin,6.757142857142857
Deepika Chikhalia,4.6
Deepika Padukone,5.7
Deepraj Rana,5.3
Deepshikha Nagpal,2.7999999999999994
Deepti Naval,5.95
Deeya Dey,5.533333333333334
Deihokhlang Basaiawmoit,7.0
Delnaaz Irani,4.7
Delzad Hiwale,7.3
Dev Anand,7.1
Dev Gohar,4.3
Dev Kumar,5.925
Devagi,6.599999999999999
Devan,3.66
Devansh Doshi,6.8
Devbala,5.2
Deven Verma,6.7846153846153845
Devendra Chowhan,5.599999999999999
Devika,7.3
